area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	replicate	m	f1	f2	f3	fu	u
Helligvaer	Tjonnoyskaeret	2	15.06.2022	TA	0	N	N	9.9	20:46	21:27	good	2	46	193	119	42	0	0
Helligvaer	Store-kvannoya	3	11.07.2022	TA	30	Y	N	14.3	17:07	17:25	good	1	27	90	5	0	0	0
Helligvaer	Store-kvannoya	3	11.07.2022	TA	30	Y	N	14.3	17:27	17:51	good	2	34	126	6	0	0	0
Helligvaer	Litj-sorroy	3	09.07.2022	TA	0	Y	N	13.6	15:43	15:53	medium	1	2	0	0	0	0	0
Helligvaer	Litj-sorroy	3	09.07.2022	TA	0	Y	N	13.6	15:59	16:16	medium	2	2	0	0	0	0	1
Helligvaer	Gudmunholmen	3	10.07.2022	TA	20	Y	N	13.8	17:33	18:01	good	1	22	67	9	0	0	1
Helligvaer	Gudmunholmen	3	10.07.2022	TA	20	Y	N	13.8	13:03	18:27	good	2	24	137	9	0	0	0
Helligvaer	Kloverholmen	3	08.07.2022	TA	40	N	Y	12.2	16:07	16:37	bad	1	54	355	22	2	0	4
Helligvaer	Kloverholmen	3	08.07.2022	TA	40	N	Y	12.2	16:54	17:33	bad	2	80	621	19	1	0	1
Helligvaer	Tjonnoyskaeret	3	12.07.2022	TA	10	Y	N	14.1	19:03	19:34	good	1	19	220	10	0	0	1
Helligvaer	Tjonnoyskaeret	3	12.07.2022	TA	10	Y	N	14.1	19:34	20:12	good	2	27	575	16	2	0	0
Kristineberg	Rodberget	1	01.05.2022	TA	5	Y	Y	10	10:13	10:34	good	1	35	67	86	8	0	0
Kristineberg	Rodberget	1	01.05.2022	TA	5	Y	Y	10	10:38	10:55	good	2	22	107	75	8	0	0
Kristineberg	Rodberget	1	01.05.2022	IM	5	Y	Y	10	10:24	10:40	good	3	38	61	80	11	0	0
Kristineberg	Rodberget	1	01.05.2022	IM	5	Y	Y	10	10:44	11:01	good	4	39	55	78	6	0	0
Kristineberg	Pittleholmen	1	30.04.2022	IM	0	Y	N	10.6	10:50	11:06	good	1	39	55	42	3	0	0
Kristineberg	Pittleholmen	1	30.04.2022	IM	0	Y	N	10.6	11:10	11:28	good	2	35	60	50	6	0	0
Kristineberg	Pittleholmen	1	30.04.2022	TA	0	Y	N	10.6	11:19	11:43	good	3	32	131	35	1	0	0
Kristineberg	Pittleholmen	1	30.04.2022	TA	0	Y	N	10.6	10:52	11:17	good	4	33	112	53	1	0	1
Kristineberg	Katten	1	29.04.2022	IM	0	N	N	8.8	11:07	11:21	medium	1	18	38	42	16	0	0
Kristineberg	Katten	1	29.04.2022	IM	0	N	N	8.8	11:26	11:38	medium	2	25	48	42	20	0	0
Kristineberg	Katten	1	29.04.2022	TA	0	N	N	8.8	12:07	12:17	good	3	26	126	53	0	0	0
Kristineberg	Katten	1	29.04.2022	TA	0	N	N	8.8	11:48	12:04	good	4	25	93	35	1	0	1
Kristineberg	Tjallsoholmen	1	28.04.2022	IM	0	Y	N	8.9	12:19	12:36	good	1	32	21	52	11	0	0
Kristineberg	Tjallsoholmen	1	28.04.2022	IM	0	Y	N	8.9	11:54	12:00	good	2	26	25	45	11	0	0
Kristineberg	Tjallsoholmen	1	28.04.2022	TA	0	Y	N	8.9	12:29	11:46	good	3	37	52	35	9	0	0
Kristineberg	Tjallsoholmen	1	28.04.2022	TA	0	Y	N	8.9	11:48	12:08	good	4	37	48	48	5	0	0
Kristineberg	Blabergsholmen	1	27.04.2022	TA	0	N	N	9	13:01	13:13	medium	1	15	62	35	1	0	0
Kristineberg	Blabergsholmen	1	27.04.2022	TA	0	N	N	9	12:43	12:57	medium	2	19	50	30	1	0	0
Kristineberg	Blabergsholmen	1	27.04.2022	IM	0	N	N	9	13:08	13:20	medium	3	19	18	31	7	0	2
Kristineberg	Blabergsholmen	1	27.04.2022	IM	0	N	N	9	12:50	13:02	medium	4	25	27	38	7	0	2
Kristineberg	Tjallsoholmen	2	04.06.2022	IM	0	Y	N	13.5	09:46	10:03	medium	1	22	21	53	42	0	0
Kristineberg	Tjallsoholmen	2	04.06.2022	IM	0	Y	N	13.5	10:08	10:21	medium	2	20	13	37	41	0	0
Kristineberg	Pittleholmen	2	06.06.2022	IM	0	Y	N	14.4	09:48	10:05	good	1	21	9	41	64	0	0
