area	location	timepoint	date	measurer	waves	sun	rain	temp	st.obs	end.obs	visibility	type	MF_fin	MF_approach	MF_hook	MF_glow	MF_HG	MF_finNR	MF_lead	MF_Lnest	MF_foll	MF_nest	MF_FN	MF_leadNR	M&F_fin	M&F_hook	M&F_glow	M&F_HG	M&F_finNR	M&F_lead	M&F_Lhook	M&F_follow	M&F_nest	M&F_leadNR	MM_fin	MM_fin	MM_retreat	MM_NR	MM_chase	MM_chase	MM_Cretreat	MM_CNR	FM_hook	FM_hookA	FM_hookAF	FM_hookAFL	FM_hookAFLN	FM_hookNR	FM_glow	FM_glowA	FM_glowAF	FM_glowAFL	FM_glowAFLN	FM_glowNR	FM_HG	FM_HGA	FM_HGAF	FM_HGAFL	FM_HGAFLN	FM_HGNR	FF_hook	FF_glow	FF_HG	FF_hook	FF_glow	FF_HG	FF_NR
Austevoll	Ternholmen	1	12.05.2022	TA	0	Y	N	8.4	15:10	15:21	good	transect	2	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	8	1	0	1	0	0	0	2
Austevoll	Ternholmen	1	12.05.2022	CA	0	N	N	8.4	14:17	14:33	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	1	0	1	0	4	0	0	3	2
Austevoll	Ternholmen	1	12.05.2022	CA	0	N	N	8.4	14:53	15:08	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	1	1	1	0	2	0	1
Hitra	Feoya f4-5	1	16.05.2022	TA	15	Y	N	7.5	10:59	11:09	good	transect	2	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Feoya f4-5	1	16.05.2022	TA	15	Y	N	7.5	11:33	11:45	good	transect	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Feoya f4-5	1	16.05.2022	CA	0	N	N	7.5	10:53	11:05	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Feoya f4-5	1	16.05.2022	CA	0	N	N	7.5	11:29	11:39	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Steinrenningen s-8	1	17.05.2022	CA	0	Y	N	7.5	09:33	09:43	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Steinrenningen s-8	1	17.05.2022	CA	0	Y	N	7.5	10:16	10:28	good	transect	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hitra	Teistholmen 10	1	18.05.2022	CA		N	N	7.7	09:16	09:27	good	transect	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
